id,name,latitude,longitude,locality_verbose,cuisines,average_cost_for_two,price_range,aggregate_rating,votes,all_reviews_count,photo_count,establishment,establishment_types
19374130,Chai Chai,13.0382920000,80.1564940000,Porur/ Chennai,Tea/ Juices/ Beverages,300,1,0,0,0,0,Beverage Shop,
19231097,Yaarab Biriyani,13.0319440000,80.1536110000,Porur/ Chennai,Biryani/ BBQ,200,1,0,0,0,0,Quick Bites,
19196238,Tasty Pizza,13.0373380000,80.1588490000,Porur/ Chennai,Pizza/ Fast Food,500,2,0,0,0,0,Quick Bites,
19316864,Yaa Mohaideen Biryani,13.0374146585,80.1588551279,Porur/ Chennai,North Indian/ Chinese/ Tamil,500,2,2.7,30,15,2,Quick Bites,
19341399,Mr. Kitchen,13.0304740000,80.1554450000,Porur/ Chennai,Chinese,250,1,3.4,10,10,0,,
18922970,SVS Salem Thattu Vadai Set,13.0384044005,80.1587578654,Porur/ Chennai,South Indian/ Fast Food,150,1,3.5,23,9,20,,
18901078,Bakers Dot,13.0302116711,80.1564732939,Porur/ Chennai,Bakery/ Burger/ Desserts/ Sandwich/ Pizza,250,1,2.9,14,2,3,Bakery,
69205,Anjappar,13.0336476072,80.1607530937,Porur/ Chennai,Chettinad/ North Indian/ Chinese/ Seafood,700,2,3.3,322,134,101,Casual Dining,
66087,Fennel,13.0377282705,80.1599035040,Grand Residence Hotel/ Porur/ Chennai,North Indian/ Chinese,1200,3,3.5,59,36,48,Casual Dining,
68710,Cakes and Berrys,13.0336113503,80.1608362421,Porur/ Chennai,Bakery,150,1,4.0,140,75,81,Bakery,
66071,Kebab E Que,13.0377530946,80.1600040868,Grand Residence Hotel/ Porur/ Chennai,North Indian/ Chettinad/ South Indian/ Finger Food,1600,3,3.2,14,2,15,Casual Dining,
66091,Bliss Bar,13.0379592001,80.1599048451,Grand Residence Hotel/ Porur/ Chennai,Finger Food,1000,3,2.9,43,21,9,Bar,
18719498,Chop Chop BBQ & Grill,13.0336508736,80.1609874517,Porur/ Chennai,BBQ/ Chinese/ Kebab/ North Indian,450,1,3.6,139,78,19,Casual Dining,
19018382,Rollita,13.0338112531,80.1610250026,Porur/ Chennai,Rolls/ North Indian,150,1,0,0,0,2,Quick Bites,
70929,Meat And Eat,13.0337632373,80.1610229909,Porur/ Chennai,Burger/ Fast Food,350,1,3.2,114,70,34,Quick Bites,
19018518,Paanagam,13.0337694434,80.1610353962,Porur/ Chennai,Rolls/ North Indian,300,1,0,1,0,0,Quick Bites,
18833920,Sugar Base Studio,13.0338573091,80.1610535011,Porur/ Chennai,Desserts/ Bakery,500,2,2.9,6,2,15,Dessert Parlour,
69300,The Grand Sweets and Snacks,13.0377021398,80.1602421328,Porur/ Chennai,Mithai/ Chinese/ Street Food/ South Indian/ North Indian,450,1,3.4,32,14,164,Sweet Shop,
19112081,Madurai Kannappar Chettinadu Restaurant,13.0339260000,80.1610980000,Porur/ Chennai,Chettinad/ Chinese/ North Indian/ Beverages,600,2,3.0,6,3,0,Quick Bites,
18694910,Sri Akshayaas Veg Treat,13.0377008333,80.1602662727,Porur/ Chennai,South Indian/ North Indian/ Chinese,350,1,3.1,8,2,0,Quick Bites,
18668827,FoodBook,13.0415812068,80.1713914052,Valasaravakkam/ Chennai,Street Food/ Fast Food/ Juices,250,1,3.2,23,18,3,Quick Bites,
19237323,Dakshin Bhojan,13.0467781335,80.1727288216,Valasaravakkam/ Chennai,South Indian,150,1,0,2,1,8,Quick Bites,
72669,Uttar Bhojan,13.0467732341,80.1729547977,Valasaravakkam/ Chennai,North Indian/ Street Food/ Sandwich,350,1,4.0,377,267,122,Quick Bites,
18528389,CK's Bakery,13.0412291013,80.1738084108,Valasaravakkam/ Chennai,Bakery/ Desserts/ Fast Food/ Sandwich,350,1,3.1,17,5,32,Bakery,
19303460,Star Caffe,13.0414310000,80.1741990000,Valasaravakkam/ Chennai,Fast Food/ Beverages/ Bakery,200,1,3.1,4,4,1,Quick Bites,
67682,Salem RR Briyani Unavagam,13.0412852814,80.1740045473,Valasaravakkam/ Chennai,Biryani/ Chettinad/ North Indian/ Chinese,600,2,3.5,234,48,14,Casual Dining,
18747959,The ThickShake Factory,13.0413626924,80.1742637157,Valasaravakkam/ Chennai,Beverages,400,1,3.8,236,86,40,Beverage Shop,
19242600,Coffee Sastra,13.0413310094,80.1742415875,Valasaravakkam/ Chennai,Beverages/ Fast Food,100,1,0,3,1,0,Beverage Shop,
68342,Nandhiniee Sweets,13.0408149358,80.1729839668,Valasaravakkam/ Chennai,Mithai/ Fast Food/ North Indian,400,1,3.6,44,20,44,Sweet Shop,
18709166,Dwaraka,13.0407992576,80.1729812846,Valasaravakkam/ Chennai,South Indian/ Street Food/ Desserts,300,1,3.2,4,2,7,Quick Bites,
68400,Friends Park,13.0426610372,80.1754921675,Valasaravakkam/ Chennai,North Indian/ Chinese/ South Indian,350,1,2.8,27,12,6,Quick Bites,
67537,Hotel Valasai Subha,13.0409589793,80.1736333966,Valasaravakkam/ Chennai,Chinese,150,1,3.1,20,9,13,Quick Bites,
19294678,Lovely Snacks,13.0411170676,80.1740806550,Valasaravakkam/ Chennai,Beverages/ Juices,100,1,0,0,0,1,Beverage Shop,
65240,Hot Spice Kitchen,13.0412454327,80.1744266599,Valasaravakkam/ Chennai,North Indian/ Chinese/ Chettinad,500,2,3.6,129,37,21,Quick Bites,
68261,Raj Iyengar Bakery,13.0415903523,80.1700938866,Valasaravakkam/ Chennai,Bakery,100,1,3.3,17,4,2,Bakery,
19294677,Balaji Sweets Sweets & Snacks,13.0409821699,80.1741446927,Valasaravakkam/ Chennai,Bakery/ Mithai,200,1,0,0,0,3,Sweet Shop,
18895958,Mcrennett,13.0456060000,80.1694080000,Valasaravakkam/ Chennai,Bakery/ Street Food,350,1,0,2,0,1,Bakery,
18528390,CK's Bakery,13.0429883170,80.1759176329,Valasaravakkam/ Chennai,Bakery/ Desserts/ Fast Food/ Sandwich,350,1,3.4,17,4,28,Bakery,
19331721,Shawarma & Grill,13.0416860000,80.1753010000,Valasaravakkam/ Chennai,Lebanese/ Chinese/ Arabian,200,1,0,2,0,0,,
18547299,Nayagaraa Fresh Juice,13.0426267414,80.1758800820,Valasaravakkam/ Chennai,Beverages/ Juices,100,1,3.1,4,0,0,Beverage Shop,
72124,Cakes and Berrys,13.0422076789,80.1757043973,Valasaravakkam/ Chennai,Bakery,150,1,3.1,23,12,18,Bakery,
18547300,The Cake World,13.0425565166,80.1759035513,Valasaravakkam/ Chennai,Bakery,500,2,0,3,4,13,Bakery,
19122910,Ajmeer Briyani,13.0403576545,80.1732324064,Valasaravakkam/ Chennai,Biryani,300,1,3.0,4,0,0,Quick Bites,
18885833,Pattanathil Paati Kadai,13.0410955101,80.1748963818,Valasaravakkam/ Chennai,South Indian/ Chettinad/ Biryani,400,1,3.1,28,12,2,Quick Bites,
18475399,French Breads,13.0415838198,80.1695748791,Valasaravakkam/ Chennai,Bakery,350,1,0,3,1,2,Bakery,
66856,The Cake World,13.0402563992,80.1718389988,Valasaravakkam/ Chennai,Bakery,500,2,3.4,25,15,24,Bakery,
18865133,Lassi Shop,13.0417468072,80.1756467298,Valasaravakkam/ Chennai,Beverages/ Ice Cream/ Juices/ Fast Food,200,1,3.4,32,8,10,Beverage Shop,
72755,J M Pork Shop,13.0403455692,80.1712432131,Valasaravakkam/ Chennai,North Indian/ Chinese,400,1,3.7,98,36,8,Quick Bites,
18475395,Amul Ice Cream Parlour,13.0403096399,80.1712287962,Valasaravakkam/ Chennai,Ice Cream/ Fast Food/ Beverages,300,1,3.2,12,1,21,Dessert Parlour,
19252651,Aranmanai,13.0413685717,80.1695517451,Valasaravakkam/ Chennai,Biryani/ South Indian,300,1,3.1,4,3,1,Quick Bites,
70275,Subway,13.0402671780,80.1709843799,Valasaravakkam/ Chennai,Healthy Food/ Fast Food,500,2,3.9,200,91,85,Quick Bites,
18617786,Glace Creamery,13.0400525821,80.1708683744,Valasaravakkam/ Chennai,Ice Cream/ Desserts,250,1,3.1,6,3,3,Dessert Parlour,
19318925,Bakes N Fryes,13.0395160000,80.1722990000,Valasaravakkam/ Chennai,Bakery/ Fast Food/ Sandwich/ Rolls/ Beverages/ Desserts,300,1,0,3,2,2,Bakery,
18597350,Salem Thattu Vadai Kadai,13.0393686174,80.1724076271,Valasaravakkam/ Chennai,Street Food/ South Indian,350,1,3.2,7,4,12,Quick Bites,
68758,Hotel Pandian,13.0417654250,80.1766937971,Valasaravakkam/ Chennai,Biryani/ Chettinad/ South Indian/ Chinese,400,1,3.5,62,23,11,Quick Bites,
19028719,Shree Vishwam Bhavan,13.0397151728,80.1704539731,Valasaravakkam/ Chennai,South Indian/ Chinese,350,1,0,2,2,2,Quick Bites,
18634295,Desi Khana,13.0395779879,80.1700030267,Valasaravakkam/ Chennai,North Indian,550,2,3.2,14,8,1,Quick Bites,
18386244,Skewered,13.0396103243,80.1699346304,Valasaravakkam/ Chennai,North Indian/ Fast Food/ Beverages,400,1,4.0,583,396,276,Quick Bites,
18594404,Bread & Butter,13.0395567569,80.1700174436,Valasaravakkam/ Chennai,Fast Food,200,1,0,2,0,0,,
18475393,Hotel Atchaya Bhavan,13.0419003223,80.1773361862,Valasaravakkam/ Chennai,South Indian/ Chinese,300,1,3.7,65,33,8,Quick Bites,
18621915,Chocolake,13.0482276747,80.1694830135,Porur/ Chennai,Bakery/ Fast Food,350,1,0,2,4,1,Bakery,
